days,date,total_cases,new_cases,totals_death,new_death,recovered_cases,new_recovered
1,3/2/2020,1,1,0,0,0,0
2,3/3/2020,1,0,0,0,0,0
3,3/4/2020,1,0,0,0,0,0
4,3/5/2020,2,1,0,0,0,0
5,3/6/2020,2,0,0,0,0,0
6,3/7/2020,2,0,0,0,0,0
7,3/8/2020,2,0,0,0,0,0
8,3/9/2020,2,0,0,0,0,0
9,3/10/2020,3,1,1,1,0,0
10,3/11/2020,5,2,1,0,0,0
11,3/12/2020,6,1,1,0,0,0
12,3/13/2020,7,1,1,0,1,1
13,3/14/2020,17,10,1,0,1,0
14,3/15/2020,28,11,1,0,1,0
15,3/16/2020,29,1,1,0,1,0
16,3/17/2020,38,9,2,1,1,0
17,3/18/2020,49,11,2,0,1,0
18,3/19/2020,63,14,2,0,2,1
19,3/20/2020,77,14,3,1,2,0
20,3/21/2020,96,19,3,0,3,1
21,3/22/2020,115,19,4,1,3,0
22,3/23/2020,143,28,4,0,5,2
23,3/24/2020,170,27,5,1,6,1
24,3/25/2020,225,55,6,1,7,1
25,3/26/2020,275,50,11,5,8,1
26,3/27/2020,345,70,23,12,11,3
27,3/28/2020,402,57,25,2,12,1
28,3/29/2020,479,77,26,1,13,1
29,3/30/2020,556,77,33,7,15,2
30,3/31/2020,617,61,36,3,24,9
31,4/1/2020,654,37,39,3,29,5
32,4/2/2020,708,54,44,5,31,2
33,4/3/2020,791,83,48,4,57,26
34,4/4/2020,919,128,59,11,66,9
35,4/5/2020,1021,102,70,11,76,10
36,4/6/2020,1120,99,80,10,81,5
37,4/7/2020,1184,64,90,10,93,12
38,4/8/2020,1275,91,93,3,97,4
39,4/9/2020,1374,99,97,4,109,12
40,4/10/2020,1448,74,107,10,122,13
41,4/11/2020,1545,97,111,4,145,23
42,4/12/2020,1661,116,118,7,177,32
43,4/13/2020,1763,102,126,8,203,26
44,4/14/2020,1888,125,126,0,217,14
45,4/15/2020,2024,136,127,1,229,12
46,4/16/2020,2283,259,130,3,249,20
47,4/17/2020,2564,281,135,5,281,32
48,4/18/2020,2685,121,137,2,314,33
49,4/19/2020,2855,170,141,4,327,13
50,4/20/2020,3046,191,143,2,350,23
51,4/21/2020,3209,163,145,2,393,43
52,4/22/2020,3446,237,149,4,417,24
53,4/23/2020,3568,122,155,6,456,39
54,4/24/2020,3758,190,158,3,486,30
55,4/25/2020,3897,139,159,1,537,51
56,4/26/2020,4065,168,161,2,593,56
57,4/27/2020,4120,55,162,1,695,102
58,4/28/2020,4252,132,165,3,778,83
59,4/29/2020,4321,69,168,3,928,150
60,4/30/2020,4423,102,170,2,984,56
61,5/1/2020,4569,146,171,1,1083,99
62,5/2/2020,4729,160,173,2,1256,173
63,5/3/2020,4903,174,174,1,1438,182
64,5/4/2020,5053,150,179,5,1653,215
65,5/5/2020,5219,166,181,2,1838,185
66,5/6/2020,5408,189,183,2,2017,179
67,5/7/2020,5548,140,183,0,2179,162
68,5/8/2020,5711,163,186,3,2324,145
69,5/9/2020,5910,199,186,0,2461,137
70,5/10/2020,6063,153,188,2,2554,93
71,5/11/2020,6281,218,188,0,2811,257
72,5/12/2020,6418,137,188,0,2991,180
73,5/13/2020,6512,94,188,0,3131,140
74,5/14/2020,6607,95,190,2,3310,179
75,5/15/2020,6652,45,190,0,3400,90
76,5/16/2020,6741,89,192,2,3487,87
77,5/17/2020,6870,129,192,0,3660,173
78,5/18/2020,6952,82,192,0,3758,98
79,5/19/2020,7023,71,193,1,3901,143
80,5/20/2020,7133,110,194,1,4098,197
81,5/21/2020,7211,78,196,2,4280,182
82,5/22/2020,7332,121,197,1,4377,97
83,5/23/2020,7406,74,198,1,4638,261
84,5/24/2020,7433,27,199,1,4703,65
85,5/25/2020,7532,99,200,1,4774,71
86,5/26/2020,7577,45,202,2,4881,107
87,5/27/2020,7601,24,202,0,4978,97
88,5/28/2020,7643,42,202,0,5195,217
89,5/29/2020,7714,71,202,0,5271,76
90,5/30/2020,7780,66,204,2,5401,130
91,5/31/2020,7807,27,205,1,5459,58
92,6/1/2020,7833,26,205,0,5893,434
93,6/2/2020,7866,33,206,1,6410,517
94,6/3/2020,7922,56,206,0,6866,456
95,6/4/2020,8003,81,208,2,7195,329
96,6/5/2020,8071,68,208,0,7268,73
97,6/6/2020,8151,80,208,0,7315,47
98,6/7/2020,8224,73,208,0,7364,49
99,6/8/2020,8302,78,208,0,7408,44
100,6/9/2020,8437,135,210,2,7493,85
101,6/10/2020,8508,71,211,1,7565,72
102,6/11/2020,8537,29,211,0,7583,18
103,6/12/2020,8610,73,212,1,7618,35
104,6/13/2020,8692,82,212,0,7696,78
105,6/14/2020,8793,101,212,0,7765,69
106,6/15/2020,8885,92,212,0,7828,63
107,6/16/2020,8931,46,212,0,7937,109
108,6/17/2020,8997,66,213,1,7993,56
109,6/18/2020,9074,77,213,0,8041,48
110,6/19/2020,9613,539,213,0,8117,76
111,6/20/2020,9839,226,213,0,8223,106
112,6/21/2020,9977,138,214,1,8284,61
113,6/22/2020,10172,195,214,0,8366,82
114,6/23/2020,10344,172,214,0,8407,41
115,6/24/2020,10907,563,216,2,8468,61
116,6/25/2020,11338,431,217,1,8500,32
117,6/26/2020,11633,295,218,1,8656,156
118,6/27/2020,11877,244,220,2,8723,67
119,6/28/2020,12052,175,221,1,8740,17
120,6/29/2020,12290,238,225,4,8833,93
121,6/30/2020,12533,243,228,3,8920,87
122,7/1/2020,12636,103,228,0,9026,106
123,7/2/2020,12969,333,229,1,9090,64
124,7/3/2020,13288,319,230,1,9160,70
125,7/4/2020,13822,534,232,2,9329,169
126,7/5/2020,14215,393,235,3,9725,396
127,7/6/2020,14379,164,237,2,10173,448
128,7/7/2020,14607,228,240,3,10639,466
129,7/8/2020,14771,164,242,2,11316,677
130,7/9/2020,15079,308,242,0,11447,131
131,7/10/2020,15328,249,243,1,11827,380
132,7/11/2020,15542,214,245,2,12065,238
133,7/12/2020,15745,203,250,5,12283,218
134,7/13/2020,15936,191,255,5,12934,651
135,7/14/2020,16097,161,257,2,13442,508
136,7/15/2020,16262,165,259,2,13821,379
137,7/16/2020,16545,283,263,4,13965,144
138,7/17/2020,16726,181,264,1,14360,395
139,7/18/2020,17015,289,269,5,14620,260
140,7/19/2020,17236,221,273,4,14921,301
141,7/20/2020,17562,326,276,3,15132,211
142,7/21/2020,17742,180,280,4,15389,257
143,7/22/2020,17962,220,285,5,15636,247
144,7/23/2020,18264,302,292,7,15872,236
145,7/24/2020,18834,570,299,7,16100,228
146,7/25/2020,19645,811,305,6,16282,182
147,7/26/2020,20278,633,313,8,16438,156
148,7/27/2020,20887,609,316,3,16553,115
149,7/28/2020,21387,500,327,11,17066,513
150,7/29/2020,22213,826,334,7,17125,59
151,7/30/2020,23259,1046,346,12,17311,186
152,7/31/2020,24322,1063,353,7,17658,347
153,8/1/2020,25015,693,367,14,17960,302
154,8/2/2020,25537,522,382,15,18435,475
155,8/3/2020,26196,659,401,19,18968,533
156,8/4/2020,27217,1021,417,16,19629,661
157,8/5/2020,28500,1283,435,18,19994,365
158,8/6/2020,29644,1144,449,14,20553,559
159,8/7/2020,30662,1018,461,12,21548,995
160,8/8/2020,32007,1345,480,19,22190,642
161,8/9/2020,33237,1230,498,18,23347,1157
162,8/10/2020,34063,826,516,18,24524,1177
163,8/11/2020,35195,1132,533,17,25385,861
164,8/12/2020,36694,1499,556,23,25677,292
165,8/13/2020,37935,1241,584,28,26687,1010
166,8/14/2020,39241,1306,611,27,27644,957
167,8/15/2020,41017,1776,632,21,28566,922
168,8/16/2020,42489,1472,658,26,29344,778
169,8/17/2020,43558,1069,681,23,29941,597
170,8/18/2020,44803,1245,714,33,31002,1061
171,8/19/2020,46313,1510,743,29,31576,574
172,8/20/2020,47638,1325,775,32,32806,1230
173,8/21/2020,49247,1609,817,42,34199,1393
174,8/22/2020,50812,1565,858,41,35040,841
175,8/23/2020,52349,1537,888,30,36343,1303
176,8/24/2020,53252,903,920,32,37478,1135
177,8/25/2020,54528,1276,955,35,38293,815
178,8/26/2020,55864,1336,984,29,40586,2293
179,8/27/2020,57085,1221,1011,27,41901,1315
180,8/28/2020,58489,1404,1052,41,43049,1148
181,8/29/2020,60056,1567,1078,26,44618,1569
182,8/30/2020,61399,1343,1111,33,46355,1737
183,8/31/2020,62590,1191,1141,30,47595,1240
184,9/1/2020,63781,1191,1184,43,48922,1327
185,9/2/2020,65453,1672,1216,32,50357,1435
186,9/3/2020,66855,1402,1253,37,51223,866
187,9/4/2020,68605,1750,1292,39,52483,1260
188,9/5/2020,70160,1555,1329,37,53929,1446
189,9/6/2020,72394,2234,1361,32,55274,1345
190,9/7/2020,73780,1386,1394,33,56096,822
191,9/8/2020,75721,1941,1427,33,57239,1143
192,9/9/2020,77878,2157,1453,26,59723,2484
193,9/10/2020,79767,1889,1491,38,61850,2127
194,9/11/2020,82197,2430,1524,33,64194,2344
195,9/12/2020,84435,2238,1553,29,65867,1673
196,9/13/2020,86686,2251,1578,25,67528,1661
197,9/14/2020,88203,1517,1614,36,68970,1442
198,9/15/2020,90324,2121,1648,34,71047,2077
199,9/16/2020,92016,1692,1686,38,72968,1921
200,9/17/2020,94504,2488,1714,28,74930,1962
201,9/18/2020,97264,2760,1755,41,76690,1760
202,9/19/2020,99816,2552,1795,40,79008,2318
203,9/20/2020,101743,1927,1830,35,80732,1724
204,9/21/2020,103119,1376,1855,25,84158,3426
205,9/22/2020,105346,2227,1889,34,85883,1725
206,9/23/2020,107743,2397,1918,29,88244,2361
207,9/24/2020,110099,2356,1956,38,90186,1942
208,9/25/2020,112522,2423,1998,42,91932,1746
209,9/26/2020,115241,2719,2041,43,94150,2218
210,9/27/2020,117685,2444,2069,28,95591,1441
211,9/28/2020,119107,1422,2113,44,97468,1877
212,9/29/2020,121183,2076,2152,39,100253,2785
213,9/30/2020,123653,2470,2194,42,102715,2462
214,10/1/2020,126044,2391,2229,35,104136,1421
215,10/2/2020,128565,2521,2263,34,106044,1908
216,10/3/2020,131228,2663,2293,30,108687,2643
217,10/4/2020,133272,2044,2330,37,111036,2349
218,10/5/2020,134695,1423,2369,39,113336,2300
219,10/6/2020,137248,2553,2410,41,115354,2018
220,10/7/2020,140024,2776,2439,29,118142,2788
221,10/8/2020,142953,2929,2486,47,120275,2133
222,10/9/2020,146398,3445,2530,44,123022,2747
223,10/10/2020,149841,3443,2572,42,124854,1832
224,10/11/2020,152404,2563,2605,33,127407,2553
225,10/12/2020,153761,1357,2636,31,129498,2091
226,10/13/2020,156946,3185,2685,49,131462,1964
227,10/14/2020,160333,3387,2726,41,133959,2497
228,10/15/2020,163650,3317,2772,46,136036,2077
229,10/16/2020,167148,3498,2818,46,138989,2953
230,10/17/2020,170911,3763,2878,60,141381,2392
231,10/18/2020,173632,2721,2928,50,143972,2591
232,10/19/2020,175749,2117,2976,48,146421,2449
233,10/20/2020,179003,3254,3027,51,148838,2417
234,10/21/2020,182580,3577,3079,52,151634,2796
235,10/22/2020,186731,4151,3132,53,154481,2847
236,10/23/2020,190416,3685,3205,73,157175,2694
237,10/24/2020,194461,4045,3255,50,160372,3197
238,10/25/2020,197481,3020,3301,46,163195,2823
239,10/26/2020,199745,2264,3373,72,165922,2727
240,10/27/2020,203733,3988,3445,72,168706,2784
241,10/28/2020,207718,3985,3506,61,171591,2885
242,10/29/2020,212038,4320,3572,66,174911,3320
243,10/30/2020,215294,3256,3625,53,177925,3014
244,10/31/2020,219084,3790,3695,70,181275,3350
245,11/1/2020,222544,3460,3762,67,184313,3038
246,11/2/2020,225070,2526,3826,64,187101,2788
247,11/3/2020,229565,4495,3900,74,189909,2808
248,11/4/2020,235310,5745,3982,82,193886,3977
249,11/5/2020,240951,5641,4059,77,197215,3329
250,11/6/2020,246349,5398,4127,68,200954,3739
251,11/7/2020,252185,5836,4197,70,205556,4602
252,11/8/2020,256781,4596,4272,75,209801,4245
253,11/9/2020,259951,3170,4356,84,212905,3104
254,11/10/2020,265165,5214,4425,69,216851,3946
255,11/11/2020,270626,5461,4506,81,221743,4892
256,11/12/2020,276821,6195,4570,64,226040,4297
257,11/13/2020,282336,5515,4631,61,229160,3120
258,11/14/2020,288211,5875,4697,66,234904,5744
259,11/15/2020,293177,4966,4779,82,238598,3694
260,11/16/2020,296189,3012,4850,71,243359,4761
261,11/17/2020,301604,5415,4932,82,247594,4235
262,11/18/2020,306995,5391,5013,81,253351,5757
263,11/19/2020,311554,4559,5090,77,257992,4641
264,11/20/2020,316260,4706,5182,92,262212,4220
265,11/21/2020,320962,4702,5256,74,266711,4499
266,11/22/2020,324941,3979,5316,60,270457,3746
267,11/23/2020,327528,2587,5396,80,275158,4701
268,11/24/2020,331527,3999,5469,73,279276,4118
269,11/25/2020,336506,4979,5539,70,284496,5220
270,11/26/2020,340684,4178,5619,80,289808,5312
271,11/27/2020,345276,4592,5689,70,294036,4228
272,11/28/2020,349688,4412,5739,50,298574,4538
273,11/29/2020,353803,4115,5789,50,302314,3740
274,11/30/2020,356336,2533,5846,57,305291,2977
275,12/1/2020,359844,3508,5915,69,310193,4902
276,12/2/2020,364190,4346,5985,70,314237,4044
277,12/3/2020,368624,4434,6063,78,318987,4750
278,12/4/2020,372620,3996,6136,73,323814,4827
279,12/5/2020,376738,4118,6184,48,327693,3879
280,12/6/2020,379657,2919,6245,61,331301,3608
281,12/7/2020,381188,1531,6320,75,334269,2968
282,12/8/2020,384088,2900,6370,50,337719,3450
